"product_name";"variant_name";"price";"url";"scraped_at"
"Glossier You Soie";"50 ml";"€95,95 EUR";"https://www.glossier.com/en-lt/products/glossier-you-soie?variant=47501395853557";"2026-04-10T12:39:40.785Z"
"Glossier You Soie";"8 ml";"€37,95 EUR";"https://www.glossier.com/en-lt/products/glossier-you-soie?variant=47501395853557";"2026-04-10T12:39:40.785Z"
"Glossier You";"50 ml";"€95,95 EUR";"https://www.glossier.com/en-lt/products/glossier-you?variant=44056890540277";"2026-04-10T12:39:40.785Z"
"Glossier You";"100 ml";"€135,95 EUR";"https://www.glossier.com/en-lt/products/glossier-you?variant=44056890540277";"2026-04-10T12:39:40.785Z"
"Glossier You";"8 ml";"€37,95 EUR";"https://www.glossier.com/en-lt/products/glossier-you?variant=44056890540277";"2026-04-10T12:39:40.785Z"
"Vacation Essentials";"No variants";"Sale price €60,95";"https://www.glossier.com/en-lt/products/vacation-essentials?variant=47907947249909";"2026-04-10T12:39:40.785Z"
"Soie + You Travel Spray";"No variants";"Sale price €113,95";"https://www.glossier.com/en-lt/products/soie-you-travel-spray?variant=47876600299765";"2026-04-10T12:39:40.785Z"
"Spring Pinks";"No variants";"Sale price €49,95";"https://www.glossier.com/en-lt/products/spring-pinks?variant=47907771416821";"2026-04-10T12:39:40.785Z"
"Futuredew";"No variants";"€35,95";"https://www.glossier.com/en-lt/products/futuredew?variant=43781981995253";"2026-04-10T12:39:40.785Z"
"Glossier You Doux";"50 ml";"€95,95 EUR";"https://www.glossier.com/en-lt/products/glossier-you-doux?variant=46147023896821";"2026-04-10T12:39:40.785Z"
"Glossier You Doux";"100 ml";"€135,95 EUR";"https://www.glossier.com/en-lt/products/glossier-you-doux?variant=46147023896821";"2026-04-10T12:39:40.785Z"
"Glossier You Doux";"8 ml";"€37,95 EUR";"https://www.glossier.com/en-lt/products/glossier-you-doux?variant=46147023896821";"2026-04-10T12:39:40.785Z"
"Boy Brow";"Dark Brown";"€25,95 EUR";"https://www.glossier.com/en-lt/products/boy-brow?variant=43886803190005";"2026-04-10T12:39:40.785Z"
"Boy Brow";"Brown";"€25,95 EUR";"https://www.glossier.com/en-lt/products/boy-brow?variant=43886803190005";"2026-04-10T12:39:40.785Z"
"Boy Brow";"Auburn";"€25,95 EUR";"https://www.glossier.com/en-lt/products/boy-brow?variant=43886803190005";"2026-04-10T12:39:40.785Z"
"Boy Brow";"Blond";"€25,95 EUR";"https://www.glossier.com/en-lt/products/boy-brow?variant=43886803190005";"2026-04-10T12:39:40.785Z"
"Boy Brow";"Grey";"€25,95 EUR";"https://www.glossier.com/en-lt/products/boy-brow?variant=43886803190005";"2026-04-10T12:39:40.785Z"
"Boy Brow";"Clear";"€25,95 EUR";"https://www.glossier.com/en-lt/products/boy-brow?variant=43886803190005";"2026-04-10T12:39:40.785Z"
"Boy Brow";"Black";"€25,95 EUR";"https://www.glossier.com/en-lt/products/boy-brow?variant=43886803190005";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Black Cherry";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Espresso";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Birthday";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Strawberry";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Wild Fig";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Rose";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Coconut";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Lavender";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Original";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Mint";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom";"Mango";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"2026-04-10T12:39:40.785Z"
"Balm Dotcom Limited Edition";"Sparkling Rosé";"€18,95 EUR";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=47047554892021";"2026-04-10T12:39:40.785Z"
"Lip Line";"Hold";"€23,95 EUR";"https://www.glossier.com/en-lt/products/lip-line?variant=46178045788405";"2026-04-10T12:39:40.785Z"
