"PRODUCT_NAME";"PRODUCT_ID";"IMAGES_LIST";"PRODUCT_URL";"PRICE";"DESCRIPTION";"SCRAPED_DATE"
"Glossier You Soie";"9478056870133";"https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-launch-carousel-2.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-teaser-ugc-2.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-launch-carousel-8.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-launch-carousel-5.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-teaser-ugc-5.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-launch-carousel-7.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-launch-carousel-4.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-launch-carousel-9.png?auto=compress";"https://www.glossier.com/en-lt/products/glossier-you-soie?variant=47501395853557";"€95,95";"You know that feeling you get on vacation, when you’re standing on the beach at dusk? Your skin is still salty and warm, the air is starting to cool, and anything seems possible. That’s Glossier You Soie. A skin-scent enhancing sensual and creamy solar fragrance. Bright, cool Bergamot opens into a blend of Rice Milk, Tiare Water and Evening Jasmine, grounded by a warm, musky base of Ambrox that wears close to skin—so it smells a little different on everyone!";"2026-04-10T13:26:39.000Z"
"Glossier You";"8138352754933";"https://glossier-prod.imgix.net/files/glossier-glossier-you-edp-50ml-carousel-02.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-edp-50ml-carousel-4.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-youedp-50ml-carousel-4.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-you-edp-50ml-carousel-5.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-50ml-carousel-6.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-edp-50ml-carousel-07.png?auto=compress";"https://www.glossier.com/en-lt/products/glossier-you?variant=44056890540277";"€95,95";"Glossier You is a soft, warm and familiar skin-scent enhancing fragrance. Sparkling Pink Pepper opens into earthy Iris, settling into a strong, slightly-sweet base of Ambrette and Ambrox that wears close to skin–so it smells a little different on everyone!";"2026-04-10T13:26:39.001Z"
"Vacation Essentials";"9576416837877";"https://glossier-prod.imgix.net/files/glossier-8ml-soie-futuredew-set-carousel-02.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-8ml-soie-futuredew-set-carousel-03.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-8ml-soie-futuredew-set-carousel-04.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-8ml-soie-futuredew-set-carousel-05.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-8ml-soie-futuredew-set-carousel-06.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-8ml-soie-futuredew-set-carousel-07.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-8ml-soie-futuredew-set-carousel-08.png?auto=compress";"https://www.glossier.com/en-lt/products/vacation-essentials?variant=47907947249909";"Sale price €60,95";"Going somewhere beachy? Don’t forget to pack these. Glossier You Soie wraps your skin in a sensual, creamy scent that captures the feeling of watching the sun disappear into the ocean. Futuredew gives your skin a soft, sun-kissed glow, like emerging from the water at golden hour.";"2026-04-10T13:26:39.001Z"
"Soie + You Travel Spray";"9570190033141";"https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-2.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-3.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-4.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-5.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-6.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-7.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-8.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-9.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-glossier-you-soie-set-carousel-10.png?auto=compress";"https://www.glossier.com/en-lt/products/soie-you-travel-spray?variant=47876600299765";"Sale price €113,95";"Get the best of both worlds with this skin-scent enhancing fragrance set. Spritz Glossier You Soie for a sensual and creamy impact or our classic Glossier You for a little something more familiar. Depending on your mood, wear them solo or layered together for a silky, seaside-inspired signature.";"2026-04-10T13:26:39.001Z"
"Spring Pinks";"9576351138037";"https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-02.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-03.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-04.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-05.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-06.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-07.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-08.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-09.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-10.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-11.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-12.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-13.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-balm-pinks-trio-carousel-14.png?auto=compress";"https://www.glossier.com/en-lt/products/spring-pinks?variant=47907771416821";"Sale price €49,95";"Your spring harvest has officially arrived. Keep your lips soft and hydrated through the in-between months with this curated trio of perfectly pink balms: Rose Balm Dotcom, Strawberry Balm Dotcom and Wild Fig Balm Dotcom. Subtle, sweet and totally in-season, they’re made to wear solo, layered together or shared with your best friends!";"2026-04-10T13:26:39.001Z"
"Futuredew";"8035305128181";"https://glossier-prod.imgix.net/files/glossier-futuredew-06.png?auto=compress, https://glossier-prod.imgix.net/products/glossier-futuredew-carousel-03.png?auto=compress, https://glossier-prod.imgix.net/products/futuredew-5.jpg?auto=compress, https://glossier-prod.imgix.net/files/glossier-futuredew-04.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-futuredew-09.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-futuredew-07.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-futuredew-02.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-futuredew-08.png?auto=compress";"https://www.glossier.com/en-lt/products/futuredew?variant=43781981995253";"€35,95";"A skincare–makeup hybrid that’s a one-step shortcut to the glow of a 12-step routine. Think instant dewy, sun-kissed glow, plus smoother-looking texture with continued use. Packed with hydrating heavy-hitters, nourishing oils, and powerful plant-based extracts, it leaves skin gleamy, well-moisturized, and visibly brighter for up to 12 hours.";"2026-04-10T13:26:39.001Z"
"Glossier You Doux";"8940012372213";"https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-02.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-03.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-04.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-05.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-06.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-07.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-08.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-09.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-10.png?auto=compress";"https://www.glossier.com/en-lt/products/glossier-you-doux?variant=46147023896821";"€95,95";"Glossier You Doux is a soft and serene woody fragrance that opens with Sweet Violet, followed by a precious blend of woody Palo Santo, Frankincense and smoky Myrrh—heightened by a warm, musky base driven by Ambrox. Doux is a skin-scent enhancer that wears close to the skin and true to you, never overpowering your unique scent—because you are the final ingredient.";"2026-04-10T13:26:39.001Z"
"Boy Brow";"8058325532917";"https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-02.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-03.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-04.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-05.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-06.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-07.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-08.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-09.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-boybrow-darkbrown-10.png?auto=compress";"https://www.glossier.com/en-lt/products/boy-brow?variant=43886803190005";"€25,95";"Inspired by the flexible formula of mustache pomade, Boy Brow visibly defines, thickens and shapes for face-framing brows in seconds. A creamy, conditioning formula and a precision brush coats even the smallest and finest hairs for a soft, flexible hold that won’t stiffen or flake. Available in a range of subtly-tinted shades that seamlessly blend in with your natural hairs plus Clear (that won’t leave a trace).";"2026-04-10T13:26:39.001Z"
"Balm Dotcom";"9150866882805";"https://glossier-prod.imgix.net/files/glossier-bdc-blackcherry-carousel-02.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-bdc-black-cherry-carousel-3.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-bdc-blackcherry-carousel-05.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-bdc-black-cherry-carousel-06.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-bdc-black-cherry-carousel-09.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-bdc-black-cherry-carousel-11.png?auto=compress";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=46731565859061";"€18,95";"Our cult-favorite, do-everything lip balm. Swipe on for hydration you can feel and taste with a formula rich in antioxidants and natural emollients to nourish dryness.";"2026-04-10T13:26:39.001Z"
"Balm Dotcom Limited Edition";"9150866882805";"https://glossier-prod.imgix.net/files/glossier-holiday-bdc-sparkling-rose-carousel-02.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-holiday-bdc-sparkling-rose-carousel-03.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-holiday-bdc-sparkling-rose-carousel-04.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-holiday-bdc-sparkling-rose-carousel-06.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-holiday-bdc-sparkling-rose-carousel-07.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-holiday-bdc-sparkling-rose-carousel-08.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-holiday-bdc-sparkling-rose-carousel-09.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-holiday-bdc-sparkling-rose-carousel-10.png?auto=compress, https://glossier-prod.imgix.net/files/glossier-holiday-rose-bdc-carousel-10.png?auto=compress";"https://www.glossier.com/en-lt/products/balm-dotcom?variant=47047554892021";"€18,95";"Our cult-favorite, do-everything lip balm. Swipe on for hydration you can feel and taste with a formula rich in antioxidants and natural emollients to nourish dryness.";"2026-04-10T13:26:39.001Z"
